,names.1,names.2,names.3,names.4,names.5,names.6,names.7,names.8,names.9,names.10,names.11,names.12,names.13,names.14,scores.1,scores.2,scores.3,scores.4,scores.5,scores.6,scores.7,scores.8,scores.9,scores.10,scores.11,scores.12,scores.13,scores.14
35,Nnat,Gpr50,Mab21l2,Dach1,Crlf1,Sulf1,Vrk2,Mest,Ube2e3,Ldhb,Zfhx4,Lrp8,Malt1,Sema6d,0.000617453087392586,0.00356310588968576,0.000826118912020786,0.000933929521480371,0.00129624917134347,0.00086368487979291,0.000540064796346329,0.000305157607127602,0.000452933819620515,0.00021978190542066,0.000378312695793943,0.000168568806014178,0.000848732047771041,0.0139634269809164
36,Mtdh,Cgnl1,Kif26b,Jun,Nap1l2,Frmd6,Gm49708,Dnm3os,Dsel,Lamb1,Fam111a,Slc16a2,Tnik,Hapln1,0.000616392504320434,0.00353066614505082,0.000821865714094164,0.000933064664775521,0.00127701676309124,0.00084647267701616,0.000537998063013923,0.000299289057384772,0.000449651643542639,0.000218259288530495,0.000376154162196181,0.000166150203425279,0.000843668979744988,0.0131956675248117
37,Caprin1,Meis2,Id2,Ier2,Enpp2,Fam107b,Phldb2,Rspo2,Limch1,Meis2,Hist1h4c,Map1b,Tshz3,Lama4,0.000615955384794558,0.00343090235821943,0.000778363772339029,0.000931939338682828,0.00125556696906246,0.00083307599826688,0.000524093485217383,0.000297822335642221,0.00044687125665468,0.000215377678137554,0.000364555765951383,0.000161047522524579,0.000827773039094877,0.0118176267465988
38,Nucks1,Zdbf2,Fzd10,Epb41l3,Dkk2,Smco4,Lpar1,Gpc3,Six1,Gpc3,Aurkb,Rora,Tpd52,Arhgap18,0.000615076693348685,0.00335023397762923,0.000767696416616556,0.000914883509119071,0.00123576887441896,0.000769460002383644,0.000523918500250037,0.00029081385013585,0.000445350337750787,0.000211602881058107,0.000360804742464542,0.00015611774667621,0.000793217613225357,0.0109898618970815
39,Nisch,Peg3,Ebf3,Dnajc1,Tbx2,Gm49708,Sulf1,Lpar4,Fzd4,Zfp281,Pbk,Six1,Hey1,Kitl,0.000610439312655097,0.00330567143652436,0.000751504275544586,0.000908420918282563,0.00120831606753505,0.000762259412164216,0.000515128401971826,0.000289776708553761,0.000444530330720509,0.000211083940195334,0.000340220189098542,0.000152961144261536,0.000775565759494836,0.0105205164010444
40,Nedd4,Meg3,Ets2,Hist1h4c,B130024G19Rik,Mllt3,Timp3,Col1a2,Dlx2,Ebf3,Hist1h3d,Sobp,Tspan12,Itga6,0.000610199846812958,0.00328690468902314,0.000743565036295989,0.000900747618849221,0.00118610822688256,0.000762067390272306,0.000507489441485655,0.000287827483395817,0.000438437863539504,0.000205865039840962,0.000338858780048991,0.000150397522445537,0.000755651648385215,0.00921082094156564
41,Atpif1,B830012L14Rik,Bmp4,Dlx1,Pou3f3,5033428I22Rik,B130024G19Rik,Col25a1,Cthrc1,Chd3,Hist1h2ac,Fdps,Fos,Tagln,0.000608050506948173,0.00322798277564759,0.000691879548227568,0.000885684301789803,0.00112913454803073,0.000755074061804649,0.000506968383234771,0.000286207325744072,0.000431837624479551,0.000201696853562508,0.000327088858194371,0.000146408996549286,0.000724231423385567,0.00664621360844133
42,Pkm,Hand2os1,Smad7,Lin28b,Gria3,Tnfrsf19,Runx1t1,Lhx6,Lrig3,Epha7,Tk1,Spry2,Myof,2900026A02Rik,0.000607785949606645,0.00321266502070785,0.000678996935910559,0.000860309902270279,0.00111880498848741,0.000747399742739102,0.000503286641665717,0.000272001383109106,0.000427796015141111,0.000200452238103423,0.000300529074604665,0.000143711401181999,0.000676995960188137,0.00636151974897178
43,Eef2,Synpo2,Eya1,Dlx5,Thbs1,Tbc1d16,Apcdd1,Rhoc,Nadk2,Meg3,Hist1h4i,Nfia,Anxa6,Afap1l1,0.000605886062951173,0.00316240421388103,0.000650022008198846,0.000809611318440503,0.00109841284408397,0.00074193335100826,0.000497403772144055,0.000267138504913597,0.000410000266657605,0.000197712482429979,0.000295611820198265,0.000141700134874201,0.000666424150471268,0.00613289575860189
44,Pdia4,Dlk1,Pde3a,Nbea,Man2a1,Stx18,Sema5a,Tnrc6a,Alcam,Fzd1,Svil,Postn,Phlda1,Egfl7,0.000605385021995143,0.00296029456225551,0.000624412232587785,0.000803898430859352,0.00109072174256676,0.00074078514544561,0.000487290045080053,0.000264770823748448,0.000409778983230026,0.000197465401661129,0.000294668129504201,0.000141334949124843,0.000655884156492961,0.00599475048367995
45,Prdx1,Aff2,Gse1,Hmcn1,Tmem108,Apcdd1,Gja1,9130024F11Rik,Mdfi,Sfrp1,Cenpq,Vegfd,Socs2,Rapgef5,0.000601527317020944,0.00292360514769275,0.000620458506662108,0.000794280615414633,0.00109071928019871,0.000740290130642795,0.000485865759139285,0.000264177741162259,0.000399754687479618,0.000193720874476103,0.000279970541161067,0.000136496074149364,0.000584270916058345,0.00588451585125769
46,Atp5a1,Osr1,Cald1,Msi2,Tbx3,Bdnf,Anxa2,Frem1,Sox6,Tsc22d1,Rad51ap1,Etv5,Atp2b4,Fabp7,0.000599565515355372,0.00276274692902801,0.000562591149524857,0.000776460045654137,0.00102904852157882,0.000715714899828625,0.000480173386441698,0.000262576011327001,0.000399144662578421,0.000193666630123394,0.000279959019853053,0.000135490178082456,0.000494837723566652,0.00576592429578422
47,Hnrnpu,Arl4c,Plaat3,Hist1h4d,Pam,Etv4,Spats2l,Cdkn1c,Col23a1,Igfbp4,Khdrbs2,Bdnf,Rgmb,Rcsd1,0.000599498493267868,0.00256440592016183,0.0005598853264219,0.000766954945781584,0.00100790989895492,0.000677142920066362,0.000479629055756444,0.000262251155290682,0.00039621088318252,0.000192102155795879,0.000277669308562632,0.000133616098735204,0.000478898367514904,0.00437774313167347
48,Tuba1b,Rnd3,Crispld1,A430106G13Rik,Apcdd1,Cdo1,Nkd2,Car14,Net1,Hist3h2ba,Gen1,Lef1,Nectin1,Cd9,0.000597655212409986,0.00242806442087757,0.000553293385910907,0.000765896749358699,0.00100250980108501,0.000674712909083504,0.000476555747974682,0.000258403470507494,0.000393786921296118,0.000191173100813199,0.000267969587838795,0.000131200957075004,0.000465905915754843,0.00408527627652067
49,Canx,Hand2,Gm34030,Nrp1,Etv1,Col6a3,Ednra,Cdh2,Cttnbp2nl,Ap1s2,Barx1,Asns,Igfbp3,Tfpi,0.000596743723474766,0.00234028155585936,0.000551924500925954,0.000699239501463495,0.000983771052396966,0.000670620445755917,0.000472914145282217,0.000255254559870454,0.000384275222909638,0.000185975415341243,0.00025739449343184,0.000125718151339926,0.000449956496223204,0.00400120271671879
50,Ranbp1,Asb4,Ifitm3,Nadk2,Tox,Crip1,Anxa7,Meg3,Ift57,Runx1t1,Pclaf,Elovl6,Pag1,Klk8,0.000591173642865834,0.00229527052382173,0.000548124613050623,0.000599691424876733,0.000980373573329373,0.000666455493945167,0.000463075901191,0.00025269153711887,0.000379516022080559,0.000185813596803081,0.000252467398615548,0.000125145141010883,0.00042801373063005,0.00376288521709484
51,Hmgb2,Tubb2a,Tes,2410006H16Rik,Col3a1,Serpinf1,Tes,Prss23,Phlda1,Pbx3,Spc25,Fkbp11,Tmem123,Ets1,0.0005906575778077,0.00224367792170928,0.000540834806049095,0.000599076941832706,0.000970250264020499,0.000654162473655713,0.000454402958421811,0.000250409571919695,0.000377665036411244,0.000181121186323859,0.000248674031478857,0.000124007071594072,0.000403528568360243,0.00309555849323352
52,Srsf2,Ahnak,Ugdh,Plekhg1,Zfp536,Irs2,Akr7a5,Ccnd2,Zfp536,Dlx3,Spdl1,Hk2,Calcrl,S100a13,0.000590190949650626,0.00207628027125128,0.000512040151856741,0.00059544878343777,0.000944930078387414,0.000653100043596514,0.000433493591639836,0.000249395585910294,0.000377347765928629,0.00018013488518976,0.0002442081902722,0.000122655075956813,0.00039063776411209,0.00264356229840969
53,Eif4g2,Cdkn1c,Sh3gl3,Zfas1,Dnajc1,Daam2,Afdn,Sfrp1,Foxp4,Jund,Fbln2,Phyh,Mt2,Rassf4,0.000589860205900922,0.00206959110007662,0.000508053666819312,0.000578669858611884,0.000938061902904987,0.000648874847681906,0.000426054657394325,0.000248979518084894,0.000369479707253812,0.000175889834034439,0.000242652496615598,0.000120701848350036,0.000376217626542629,0.00256635784639648
54,Auts2,Dact1,Adgrl3,Tead1,Efnb2,Col26a1,Ank3,Sem1,Ccnd2,Ncam1,H1f0,Axin2,Hes6,Piezo2,0.000589785452416865,0.00205994966840491,0.000501093116014955,0.00056971140791162,0.0009001416948709,0.000646071677918734,0.000412037404011286,0.000248556302688111,0.000353160738943404,0.000175134999553188,0.000239315647224351,0.000120606328945043,0.000369044364693574,0.00230776606198459
55,Eif5b,Rdh10,Rhoc,Meis2,Lrig3,Sh3d19,Dab2,Acer2,Crim1,Gpc6,Cdc7,Gng2,Fgf10,Akap12,0.000588338241192069,0.00201854595766912,0.000499197318793787,0.000569335108679453,0.000859737466974099,0.000645453961379884,0.000400712831073132,0.000247651547047306,0.000351250029047293,0.000174824461689113,0.000238789906321486,0.00011770884542905,0.000367547975713324,0.00201613600923464
56,Zfhx3,Igf2,Robo2,Pdlim4,Nr2f1,Eya1,Tcf4,Arid5b,Pkn1,Tut4,Cdca2,Tnfrsf19,Myl9,Igfbp3,0.000587555359660115,0.00188500578061628,0.000489576201499002,0.00056790657425949,0.000850487366472985,0.00063784340851846,0.000395977508952119,0.000247090588294838,0.000350571373554978,0.000168469667311866,0.000235077603678826,0.000115939620442963,0.000339095515065497,0.00196246431032385
57,Eef1g,Gm34030,Filip1l,Lrba,Crym,Bcl11b,Dkk2,Tenm4,Tenm4,Il6st,Lig1,Six2,Cacna2d1,Ptprm,0.000587253869494676,0.00186098710224546,0.000485916216868369,0.000566132147960022,0.00081633107203074,0.000620901746740316,0.000394702405116313,0.000246832713402297,0.000347648391154336,0.000163582634877833,0.000229206812571877,0.000115615013211464,0.000312753230312161,0.00188284527489094
