,x
1291,Suz12
1292,Supt6
1293,Atf7ip
1294,Arl6ip6
1295,Timm10b
1296,Ube2v1
1297,Eif4b
1298,Sox9
1299,Casp3
1300,Bccip
1301,Dusp11
1302,Exosc8
1303,Dcaf8
1304,Slc39a6
1305,Gsc
1306,Foxn3
1307,Hectd1
1308,Gabarapl2
1309,Txnl4a
1310,Stk38
1311,Mis18bp1
1312,Ddt
1313,Cyb5a
1314,Grpel1
1315,Psme4
1316,Hand2os1
1317,Selenos
1318,Dlx5
1319,Cenpw
1320,Tsen34
1321,Dpm3
1322,Prrx2
1323,Tro
1324,Dkc1
1325,Prelid1
1326,Pitpnc1
1327,Pin1
1328,Chordc1
1329,Bax
1330,Oip5os1
1331,Zrsr2
1332,Cuta
1333,Twistnb
1334,Asb4
1335,Trp53bp1
1336,Lbr
1337,Ogt
1338,Sgo1
1339,Ccdc124
1340,Brk1
1341,Arpc3
1342,Ddr2
1343,Uba1
1344,Ppp1r10
1345,Rab10
1346,Ciao2a
1347,Ppp4c
1348,Syf2
1349,Lamtor2
1350,Dock7
1351,Ndufa8
1352,Ccnb1
1353,Sf3b4
1354,Zcchc9
1355,Phax
1356,Tnfaip8
1357,Naa35
1358,Coa3
1359,Xbp1
1360,Rbm6
1361,Mtpn
1362,Aurkaip1
1363,Hat1
1364,Polr2g
1365,Rtn3
1366,Dcp2
1367,Lix1
1368,Rnf187
1369,Wtap
1370,Gtf2a2
1371,Gatad2a
1372,Cdc20
1373,Prpf19
1374,Sfxn1
1375,Htatsf1
1376,Naa50
1377,Plagl1
1378,Cited1
1379,Zdbf2
1380,Nrk
1381,Foxd1
1382,Cmpk1
1383,Arhgap28
1384,Phactr2
1385,6330403K07Rik
1386,Klhdc10
1387,Irf2bp1
1388,Cops2
1389,Peg10
1390,Limch1
1391,Satb2
1392,Lpar4
1393,Bola3
1394,Zcchc3
1395,Osr1
1396,1810037I17Rik
1397,Pno1
1398,Zfp260
1399,Sumo3
1400,Cript
1401,Cops3
1402,Cstb
1403,Rab5a
1404,Ift74
1405,Lpp
1406,Pold3
1407,Chd8
1408,Ddx52
1409,Golga4
1410,Ank3
1411,Ndufs8
1412,Zmynd11
1413,Cyfip1
1414,Supt4a
1415,Gadd45gip1
1416,Amotl1
1417,Asap1
1418,Aarsd1
1419,Chtop
1420,Elf2
1421,Pdcd10
1422,Tnrc18
1423,C430049B03Rik
1424,Smndc1
1425,Med28
1426,Nck1
1427,Nsg1
1428,Ube2q1
1429,Ilkap
1430,Ddx54
1431,Txndc9
1432,Ccdc127
1433,Sf3a1
1434,Ryk
1435,Fmr1
1436,Zkscan1
1437,Zfp24
1438,G2e3
1439,Ylpm1
1440,Cir1
1441,Purb
1442,Psmd13
1443,Trim44
1444,Smad2
1445,Smad4
1446,Vim
1447,Zfp503
1448,Hadh
1449,Ist1
1450,Frg1
1451,Ctr9
1452,Impad1
1453,Cdc40
1454,Rab11b
1455,Ndufs3
1456,Rpf1
1457,Ccnl1
1458,Rab18
1459,Yeats2
1460,Zc3h14
1461,Csnk1e
1462,Rp9
1463,Cttn
1464,Akirin2
1465,Eif4a2
1466,Xpo5
1467,Atxn2
1468,Nfyb
1469,Zcchc8
1470,Psmg4
1471,Snx3
1472,Polr2c
1473,Ppwd1
1474,Foxd2os
1475,Tgfb2
1476,Wnt5a
1477,5033428I22Rik
1478,Alx1
1479,Akr7a5
1480,Cachd1
1481,Igf1
1482,Rai14
1483,Mak16
1484,Lef1
1485,Mtap
1486,Unc5c
1487,Ednra
1488,Tmem59
1489,Gnai3
1490,Jarid2
1491,Ccni
1492,Ube2e1
1493,Frmd4a
1494,Nsfl1c
1495,Fam136a
1496,Tshz2
1497,Csnk2a2
1498,Mnat1
1499,Rcn3
1500,Mtx2
1501,Creb5
1502,Stoml2
1503,Pgrmc1
1504,Vegfb
1505,Cdc34
1506,Vps72
1507,Csnk1g3
1508,Trip13
1509,Pfdn4
1510,Ube2m
1511,Naa10
1512,Polr3k
1513,Alx4
1514,March5
1515,Kif26b
1516,Tomm40
1517,Rheb
1518,Med21
1519,Eif2s3x
1520,Srek1ip1
1521,Polr2b
1522,Cops4
1523,Smim11
1524,Map1b
1525,Tcf20
1526,Dclk1
1527,Kctd12
1528,Foxp2
1529,Pcdh10
1530,Efnb2
1531,Ier2
1532,Jun
1533,Dlx6os1
1534,Zfas1
1535,Net1
1536,Bub1b
1537,Epb41l3
1538,Nbea
1539,Axin2
1540,Hist1h4d
1541,Mir99ahg
1542,Dnajc1
1543,Lrig3
1544,Incenp
1545,Psmg2
1546,Atg12
1547,Racgap1
1548,Hist1h3c
1549,Emx2
1550,Sema3a
1551,Pbk
1552,Chd7
1553,Hmmr
1554,Cenpq
1555,Bmpr1a
1556,Kif11
1557,Luzp1
1558,Dcaf1
1559,Akap13
1560,Hist1h4i
1561,Pdlim4
1562,Ramac
1563,Fbxo5
1564,Hnrnph2
1565,Med4
1566,Npm3
1567,6720427I07Rik
1568,Ncapd2
1569,Pbx3
1570,Mns1
1571,Oxct1
1572,Csnk1g2
1573,Paip2b
1574,Palld
1575,Kras
1576,Cenpk
1577,Zc3h18
1578,Otub1
1579,Shox2
1580,Tril
1581,Cdh6
1582,Slf1
1583,Lsp1
1584,Tmem132c
1585,Tbx3
1586,Adprh
1587,Osr2
1588,Nudt4
1589,Tbx2
1590,D10Wsu102e
1591,Fermt2
1592,Flrt2
1593,Robo1
1594,Crlf1
1595,Gli3
1596,Nbl1
1597,Etnk1
1598,Snx5
1599,Ppp4r3b
1600,Arid5b
1601,Adss
1602,Lhx8
1603,Snhg6
1604,Cnn2
1605,Ccdc174
